"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"202314_at",0.510682206114287,4.642244431875,2.6387678689828,0.0139292302483437,0.040267513916734,-3.99083466997485
"217457_s_at",0.217806741857143,3.767991658,2.63863020407108,0.0139336595474043,0.0402750919602342,-3.9911295441177
"215928_at",-0.370068261571429,1.974262749875,-2.63758268741866,0.0139674059945553,0.0403673979424895,-3.99337300568532
"221743_at",0.172665358114287,8.16452772704167,2.63709314658353,0.0139832030460801,0.0404078109038173,-3.99442127846396
"220818_s_at",0.2242547628,1.59140451329167,2.63690560883157,0.0139892591448341,0.0404180313427011,-3.99482283085829
"211402_x_at",0.2926158296,1.696117587625,2.63687126307031,0.0139903685273407,0.0404180313427011,-3.99489636960344
"207761_s_at",-0.299930322971427,6.54836459308333,-2.63663846983899,0.013997890013131,0.040434517093169,-3.99539479577538
"218183_at",-0.239106724457144,3.19275158791667,-2.63591050640356,0.0140214346964169,0.0404972774189133,-3.99695325271515
"212415_at",0.323472073971429,1.26719759020833,2.63537370261982,0.0140388203533511,0.0405422350287273,-3.99810230877557
"208596_s_at",-0.592977146171428,4.25130310925,-2.63499821386099,0.014050993409521,0.0405721296414645,-3.9989059821589
"204398_s_at",-0.211385388171429,4.610554951625,-2.63482892724526,0.0140564847751215,0.0405827256785097,-3.99926829154146
"209783_at",0.247287210657143,2.16602375783333,2.63474148708281,0.0140593219681346,0.0405856570537948,-3.99945542687964
"218081_at",0.206231187542857,3.9904391305,2.63445214450114,0.0140687141539442,0.0406075078009088,-4.00007463897478
"218457_s_at",-0.346987794742859,3.769879801375,-2.63432249743015,0.0140729244551935,0.0406143979904579,-4.00035207957973
"206097_at",0.260849038114286,2.41490468416667,2.6341820434962,0.0140774870385065,0.0406223029477732,-4.00065263770783
"212133_at",0.226671063857142,3.7976240825,2.63344609244129,0.0141014166751598,0.0406860846098347,-4.00222735334664
"209880_s_at",0.27784396242857,2.76472252541667,2.63334789489715,0.0141046124647308,0.0406900352080818,-4.002437447737
"206337_at",0.169114015742857,0.731738020208333,2.63293414226217,0.0141180852668162,0.0407216527882161,-4.00332262536056
"203246_s_at",-0.221640619828572,4.95135574466667,-2.63289906016521,0.0141192281786677,0.0407216527882161,-4.00339767593141
"214672_at",0.290010909371428,3.21230259541667,2.63273247195712,0.0141246565034664,0.0407320353304493,-4.00375404761234
"215507_x_at",-0.214129391457143,1.04929789016667,-2.63261136492298,0.014128604034604,0.0407381454929944,-4.00401311616919
"205292_s_at",0.328583066485714,7.68003292416667,2.63225743596267,0.0141401463939276,0.0407661500216806,-4.00477019131998
"219585_at",0.2526632294,1.10106017775,2.63173050037964,0.0141573471756326,0.0408052331248339,-4.00589722990546
"220748_s_at",-0.223738880914287,4.051544369,-2.63172991793208,0.0141573661993016,0.0408052331248339,-4.00589847560457
"207119_at",-0.243759601028571,0.68318801625,-2.63152718871138,0.0141639891102485,0.0408190408032348,-4.00633204943026
"201896_s_at",-0.266625533942857,2.21948586554167,-2.63094900440027,0.0141828935676388,0.0408682343818767,-4.00756849805331
"214123_s_at",0.323125302885715,1.98155699470833,2.63070029709394,0.0141910326086879,0.0408863985286784,-4.0081003113561
"203088_at",-0.631361631857144,3.81649880979167,-2.63033513630372,0.0142029905376834,0.040915559318243,-4.0088810860705
"220468_at",0.216081462685714,0.599647578458333,2.63004552312373,0.0142124811972276,0.0409376058482853,-4.00950028319328
"221308_at",0.210530437171428,0.954743065583333,2.62975131832648,0.0142221283878662,0.0409600974914668,-4.01012925722389
"221429_x_at",0.194133355114286,1.11495944916667,2.62960466372748,0.0142269395828837,0.0409686573278052,-4.01044277182585
"209932_s_at",-0.290663088314286,7.13631027175,-2.62949166371542,0.0142306477319689,0.040974038971833,-4.01068433363714
"219311_at",-0.312166115457143,4.23492026566667,-2.62941538247271,0.0142331514474099,0.0409759517697014,-4.01084739782092
"213615_at",0.374150614171428,2.41923885225,2.62895464746576,0.0142482825141072,0.0410142123745661,-4.01183223988612
"205874_at",0.2520871982,1.49260407275,2.62876540674934,0.014254501746928,0.0410268133612809,-4.01223672185032
"215128_at",-0.351908646971428,3.40124353104167,-2.62850489736648,0.0142630673093082,0.0410440448687942,-4.01279350570053
"216945_x_at",0.263842738285714,3.21359436216667,2.62846082826548,0.0142645167788586,0.0410440448687942,-4.01288769097593
"206690_at",0.214497779657143,0.932042899708333,2.62841524958835,0.0142660160443091,0.0410440448687942,-4.01298510159126
"205008_s_at",0.246326925457144,4.590494557625,2.62804113831033,0.0142783276255126,0.0410741612233399,-4.01378461448354
"222374_at",0.226615205142857,1.35167099825,2.62786491255517,0.0142841304532079,0.0410855486257084,-4.01416120376185
"215914_at",0.2594525802,1.08075419308333,2.62756936254344,0.0142938673779195,0.0411082472989816,-4.01479275293816
"213396_s_at",-0.306559758114286,3.00844912175,-2.62718469875444,0.0143065494461984,0.0411394090632453,-4.01561466475313
"212474_at",-0.329213796457142,4.77281057904167,-2.62704666782021,0.0143111027801335,0.0411471910987396,-4.01590957885517
"37012_at",0.180587033085713,7.99979575191667,2.62654924563001,0.0143275228587804,0.0411872606634424,-4.01697228722896
"219378_at",-0.355964199228572,4.99874388725,-2.62648900837369,0.0143295125049606,0.0411872606634424,-4.01710097214748
"213090_s_at",-0.306678355428573,4.88205526020833,-2.62645652056958,0.0143305856893811,0.0411872606634424,-4.01717037517631
"202760_s_at",0.409031513628573,3.550659920875,2.62619567950173,0.0143392048911949,0.041206716635855,-4.01772758671984
"211691_x_at",0.260612072542856,2.48759820308333,2.62603014629585,0.0143446772610432,0.0412171256731921,-4.0180811840763
"215213_at",-0.298220137771429,1.05359677404167,-2.62524335482576,0.0143707145028117,0.0412862834580787,-4.01976168315248
"214019_at",-0.2226197062,1.205037021375,-2.62512536534976,0.0143746229232427,0.0412862834580787,-4.02001367059834
"204711_at",-0.299613437942858,3.78118559691667,-2.62509271207707,0.0143757047434591,0.0412862834580787,-4.02008340630171
"220514_at",0.219811920885715,1.82480149741667,2.62507899251129,0.0143761593026133,0.0412862834580787,-4.02011270623505
"216531_at",0.222572032885714,0.901231319125,2.62491572587085,0.0143815697126697,0.0412886415096621,-4.02046137681757
"205601_s_at",-0.331497152999999,2.78765357141667,-2.62489019086144,0.0143824160762071,0.0412886415096621,-4.02051590799764
"206778_at",0.274582021,2.30299634904167,2.62488643248155,0.0143825406524657,0.0412886415096621,-4.020523934164
"211981_at",0.721644595371429,3.3804715985,2.62459883599249,0.0143920763901785,0.0413106926612559,-4.0211380880522
"210543_s_at",0.317092888171428,4.56072539904167,2.6242594013405,0.0144033385008946,0.0413376928348917,-4.02186289104622
"205089_at",-0.217225819457143,4.08694592358333,-2.62381124496467,0.014418220493023,0.0413750738017613,-4.02281976759456
"201604_s_at",-0.4113419508,3.42518557679167,-2.62352598660304,0.0144277005817183,0.0413969456284053,-4.02342878514881
"220011_at",0.2875476034,1.78204413558333,2.62300349900885,0.0144450796797613,0.0414412892510848,-4.02454418082317
"212416_at",-0.254399288371427,6.20660743508333,-2.6229495334878,0.0144468758057155,0.0414412892510848,-4.02465937801627
"214516_at",-0.196383667314285,1.209042487,-2.62235365164081,0.0144667223104305,0.0414928766459972,-4.02593128315865
"208417_at",0.250883749971428,2.681699316375,2.62211542345106,0.0144746638818794,0.041510309899154,-4.02643973283652
"203401_at",0.271831022942857,5.226585310125,2.62186710607175,0.0144829461171491,0.0415242902270734,-4.0269696875428
"217283_at",0.246796582885714,1.71915803520833,2.6218574932925,0.0144832668251722,0.0415242902270734,-4.0269902023912
"207752_x_at",0.330980195914286,2.37892436041667,2.62147376912426,0.0144960743037974,0.0415556617250926,-4.02780908140969
"202377_at",-0.202542659885713,7.0396528055,-2.62096468064118,0.0145130823538735,0.0415990653110191,-4.02889538518103
"216391_s_at",0.2476252308,1.16294781533333,2.62087882162994,0.0145159526374902,0.0416019396507615,-4.02907858098361
"213790_at",0.492996876657143,1.58036966891667,2.62031232970035,0.0145349038563421,0.0416508944182831,-4.03028720782973
"205848_at",0.244962028285714,0.967917409583333,2.61949207487025,0.0145623852906639,0.0417242774431022,-4.03203697841249
"219061_s_at",0.262536878685716,5.41529137633333,2.61942452745679,0.0145646505270636,0.0417254012077412,-4.03218105673452
"221607_x_at",0.149566846285714,10.7911349695833,2.61880660325766,0.0145853881923606,0.0417794384417151,-4.03349898682845
"212694_s_at",0.250979622628571,3.71569621554167,2.61802425886373,0.0146116833572595,0.0418493790369852,-4.03516734089506
"208577_at",0.202084148571428,1.77124011658333,2.61716886269399,0.014640484461528,0.0419264779983879,-4.03699114937414
"219401_at",-0.251295722714286,3.75378311683333,-2.61707280616976,0.014643721980951,0.0419303591991832,-4.03719593207856
"216455_at",0.1959219976,2.93211438166667,2.61692801116323,0.0146486034598846,0.0419389460578139,-4.03750461205905
"212723_at",0.302163166428571,4.21720373154167,2.61678445360985,0.0146534447192415,0.0419474155757573,-4.03781064425993
"207598_x_at",-0.275089272428572,2.49262615404167,-2.6165167773876,0.0146624756780533,0.0419678749428233,-4.03838124349534
"219917_at",-0.257203316371428,1.40279789745833,-2.61561130844761,0.0146930632272563,0.0420500217771825,-4.04031116110156
"33778_at",0.204474283371427,5.297194102875,2.61497333898159,0.0147146501398972,0.0421063919289004,-4.04167069848138
"219351_at",-0.295285984142857,3.551336587,-2.61473112791086,0.014722853558768,0.0421244552695446,-4.04218680941052
"218857_s_at",0.263201092114286,2.20194801658333,2.61461723652402,0.0147267124075176,0.0421257989351171,-4.04242948320034
"204747_at",0.456296454914285,5.26325583091667,2.61460564564746,0.0147271051805311,0.0421257989351171,-4.0424541800896
"217775_s_at",0.181580473142856,5.299685037125,2.61437865163778,0.0147347991588916,0.0421423957969738,-4.042937827568
"209468_at",-0.350692494114285,2.50388689283333,-2.61409796087566,0.0147443183774573,0.0421537672963686,-4.04353585113558
"221183_at",0.191375197171429,1.01822975791667,2.6140953595212,0.0147444066254289,0.0421537672963686,-4.04354139325809
"222144_at",0.273738295628572,2.7152984495,2.61409402520151,0.0147444518908876,0.0421537672963686,-4.04354423599255
"217991_x_at",-0.226841084628572,3.68899715495833,-2.61356173371115,0.0147625196902005,0.0422000065621194,-4.04467820273813
"202966_at",-0.287823421142857,1.13477995695833,-2.61234129117942,0.0148040236816661,0.0423132198558475,-4.04727766781676
"217561_at",0.202256535828572,0.754882043916667,2.61220674165309,0.0148086060063586,0.0423191078358783,-4.04756420681782
"202550_s_at",0.196761176428571,5.10609758508333,2.6121387730193,0.0148109213025984,0.0423191078358783,-4.047708950754
"212583_at",-0.284783553142857,2.669446317875,-2.61211348729442,0.0148117827264148,0.0423191078358783,-4.04776279790935
"212909_at",0.237252839514286,1.37260817229167,2.61201781130432,0.0148150426001563,0.0423229935885716,-4.04796654175972
"215498_s_at",0.286234279028572,5.834957787875,2.61191421741982,0.014818573007002,0.0423276510933432,-4.04818714205306
"221806_s_at",-0.271639858800002,6.271140858875,-2.61158596841265,0.0148297646853582,0.0423487762073154,-4.04888610576906
"208584_at",0.2862633662,1.58111722483333,2.61158579034361,0.0148297707587767,0.0423487762073154,-4.04888648493023
"205677_s_at",0.195576193371429,4.781792696125,2.61117695588855,0.0148437210338702,0.0423831803988114,-4.0497569738468
"218967_s_at",-0.372712373028571,2.715340488375,-2.61098601528907,0.0148502405128915,0.0423963613873747,-4.05016349691548
"203155_at",-0.202353870371429,4.33984385,-2.61069626871331,0.0148601387256999,0.0424191838022061,-4.05078035051604
"203007_x_at",-0.416894479828572,6.33525193641667,-2.61036365410407,0.0148715089653643,0.0424462018220911,-4.05148841884516
"201955_at",0.258208369799999,5.76443447075,2.60998681977904,0.0148844006332273,0.0424775548176282,-4.05229055882248
"212318_at",0.163947364571428,5.19008171079167,2.60985006717459,0.0148890815765616,0.0424807487926393,-4.05258163763223
"208966_x_at",0.365824217600001,6.73375487475,2.60984270293198,0.0148893336882402,0.0424807487926393,-4.0525973122202
"213547_at",-0.375693775371428,2.29411367875,-2.6092697773548,0.014908959755492,0.0425312967695088,-4.05381669010596
"215254_at",0.315001724628571,1.44554934020833,2.60914451146108,0.0149132540609183,0.042538099963518,-4.05408327732127
"215082_at",0.191782242114286,2.00310007004167,2.60651539368997,0.0150036507839824,0.0427904658193285,-4.05967677864513
"219343_at",-0.321376728714286,4.72620680125,-2.60571558491737,0.015031251719772,0.0428636961804097,-4.06137773983559
"37384_at",0.189125408714285,4.71142591979167,2.60499867600734,0.0150560320528136,0.0429288654857965,-4.06290213986688
"203448_s_at",-0.356722296314286,4.3085279205,-2.60487542209505,0.0150602962237093,0.0429355284074191,-4.06316419645279
"218083_at",0.251867756257143,4.24193310316667,2.60475831837028,0.0150643486617372,0.0429415860700601,-4.06341317014209
"221107_at",0.541228151857143,3.00949064275,2.60450050914438,0.0150732738726825,0.0429589828079434,-4.06396127427102
