"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"GLRX3",0.000101497518628655,0.303853210053432,0.352,0.287,1,"GLRX3","Endothelial"
"NUDT21",0.000102881019659047,0.27119771920609,0.242,0.186,1,"NUDT21","Endothelial"
"PHACTR1",0.000102925685405346,0.911752156745411,0.1,0.065,1,"PHACTR1","Endothelial"
"ENTPD1",0.000103497241306122,0.281196166896034,0.449,0.38,1,"ENTPD1","Endothelial"
"BNC2",0.00010611789945094,0.494147902244101,0.166,0.12,1,"BNC2","Endothelial"
"SYNCRIP",0.000108581740193895,0.255228735728144,0.499,0.442,1,"SYNCRIP","Endothelial"
"EXOC3L2",0.000108866467282304,0.555165908139948,0.19,0.141,1,"EXOC3L2","Endothelial"
"FILIP1",0.00010922435877463,-0.366871900960421,0.308,0.361,1,"FILIP1","Endothelial"
"TEN1",0.000109532641431313,0.370943233465687,0.179,0.13,1,"TEN1","Endothelial"
"REL",0.000109942113543882,0.46478307421896,0.398,0.346,1,"REL","Endothelial"
"ERO1A",0.00011127738753336,0.364461123019401,0.208,0.157,1,"ERO1A","Endothelial"
"CBX3",0.000111293811923157,0.292655452083245,0.552,0.49,1,"CBX3","Endothelial"
"MARCH5",0.000112072409174251,0.31569705895197,0.237,0.182,1,"MARCH5","Endothelial"
"NCKAP5L",0.000112576477945794,0.442759167257292,0.135,0.092,1,"NCKAP5L","Endothelial"
"BST2",0.000113384313357173,-0.283965267350276,0.408,0.465,1,"BST2","Endothelial"
"STARD9",0.000114003574261864,-0.309901941065551,0.226,0.274,1,"STARD9","Endothelial"
"RUVBL1",0.000114215815189222,0.337198336020887,0.221,0.168,1,"RUVBL1","Endothelial"
"CCL23",0.000115346997376411,-0.857240497165019,0.101,0.138,1,"CCL23","Endothelial"
"SAMD8",0.000115481579427032,0.444062893692437,0.154,0.109,1,"SAMD8","Endothelial"
"OSTM1",0.000115767975011703,0.363679203998377,0.177,0.128,1,"OSTM1","Endothelial"
"MRPL33",0.000116455609129705,0.270233778829986,0.583,0.523,1,"MRPL33","Endothelial"
"GBE1",0.000117337377494688,0.395386684025362,0.173,0.127,1,"GBE1","Endothelial"
"SEL1L",0.000119682250069283,0.292430276810679,0.254,0.196,1,"SEL1L","Endothelial"
"CD164",0.000120618264691909,0.311211773901496,0.363,0.296,1,"CD164","Endothelial"
"GNPNAT1",0.000124807724970148,0.273488630894353,0.104,0.068,1,"GNPNAT1","Endothelial"
"RPS6KA2",0.000127174042911521,-0.404018906891717,0.337,0.377,1,"RPS6KA2","Endothelial"
"ELP5",0.000127269241345021,-0.402473945343282,0.146,0.188,1,"ELP5","Endothelial"
"EOGT",0.000128867550185649,0.515277781855151,0.228,0.176,1,"EOGT","Endothelial"
"SYNGR2",0.000129416347782722,0.479635981686488,0.438,0.384,1,"SYNGR2","Endothelial"
"NOS3",0.000129481197304521,0.548201449632413,0.223,0.172,1,"NOS3","Endothelial"
"LAPTM4B",0.000129716284839341,0.321445596854423,0.395,0.339,1,"LAPTM4B","Endothelial"
"TPD52",0.000130836618875032,-0.796755331836335,0.075,0.108,1,"TPD52","Endothelial"
"TIMM17A",0.000131932352997867,0.402640717497045,0.276,0.219,1,"TIMM17A","Endothelial"
"TRIM26",0.000132838816784127,0.336717054907286,0.125,0.085,1,"TRIM26","Endothelial"
"UTP20",0.00013364436699739,0.6326700871819,0.141,0.099,1,"UTP20","Endothelial"
"SOAT1",0.000135916643878606,0.802910696190288,0.101,0.066,1,"SOAT1","Endothelial"
"CLINT1",0.000136919863953055,0.259565335678098,0.309,0.246,1,"CLINT1","Endothelial"
"MBNL2",0.000138046952683274,0.332114052929669,0.397,0.333,1,"MBNL2","Endothelial"
"PIGP",0.00013828225754571,-0.626746712395136,0.113,0.152,1,"PIGP","Endothelial"
"PAICS",0.000140223775270935,0.398816995295753,0.185,0.136,1,"PAICS","Endothelial"
"TIPARP",0.000140464069004699,0.345203941982152,0.202,0.152,1,"TIPARP","Endothelial"
