"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
"PIK3R1",9.23643268605673e-36,-0.65468070852693,0.404,0.472,2.2952535224851e-31,"PIK3R1","Fibroblast"
"H2AFY",1.03679670580805e-35,0.325305415210342,0.523,0.383,2.576439813933e-31,"H2AFY","Fibroblast"
"N4BP2L2",1.07185312385212e-35,-0.419522129745202,0.711,0.726,2.66355501277253e-31,"N4BP2L2","Fibroblast"
"ASB1",1.21159338217384e-35,0.571395549315384,0.186,0.098,3.01080955470198e-31,"ASB1","Fibroblast"
"DPM1",1.22298912389756e-35,0.412958525409325,0.364,0.24,3.03912797288543e-31,"DPM1","Fibroblast"
"SH3GL1",1.38492139515347e-35,0.39454035558109,0.38,0.259,3.44152966695636e-31,"SH3GL1","Fibroblast"
"YWHAE",1.41557486312666e-35,0.286530221758284,0.74,0.612,3.51770353486974e-31,"YWHAE","Fibroblast"
"MDFI",1.52178590402201e-35,0.382518034239568,0.15,0.069,3.7816379714947e-31,"MDFI","Fibroblast"
"CGNL1",1.56831219547841e-35,-1.7177408325261,0.049,0.104,3.89725580576384e-31,"CGNL1","Fibroblast"
"PPFIBP1",1.64502567398575e-35,0.322369294958741,0.528,0.389,4.08788879985459e-31,"PPFIBP1","Fibroblast"
"HSPA8",1.65129445930406e-35,0.311581749853409,0.84,0.77,4.1034667313706e-31,"HSPA8","Fibroblast"
"SERP1",1.72773795812992e-35,0.302390078138999,0.708,0.596,4.29342882595285e-31,"SERP1","Fibroblast"
"NOP16",1.81496113090198e-35,0.845596217014638,0.172,0.089,4.51017841029142e-31,"NOP16","Fibroblast"
"SLC1A5",1.83231545866163e-35,0.428605822531865,0.258,0.152,4.55330391477416e-31,"SLC1A5","Fibroblast"
"GPC3",2.06593277863587e-35,-0.718891882563547,0.165,0.251,5.13384295491013e-31,"GPC3","Fibroblast"
"GPM6B",2.07912740070139e-35,0.527515559347013,0.363,0.25,5.16663159074295e-31,"GPM6B","Fibroblast"
"CNTN1",2.11943780463545e-35,-1.56213477567043,0.067,0.127,5.2668029445191e-31,"CNTN1","Fibroblast"
"DOCK9",2.31634253563417e-35,-1.42361182355801,0.047,0.101,5.75611120105092e-31,"DOCK9","Fibroblast"
"TWIST2",2.3473836473272e-35,0.462426829027651,0.651,0.559,5.83324836360809e-31,"TWIST2","Fibroblast"
"MCTS1",2.45056331607122e-35,0.318997880058225,0.435,0.303,6.08964984043699e-31,"MCTS1","Fibroblast"
"CD47",3.13779767404891e-35,-0.566787293089598,0.523,0.563,7.79742722001154e-31,"CD47","Fibroblast"
"PLGRKT",3.45725683574036e-35,0.413310259430463,0.312,0.199,8.5912832368148e-31,"PLGRKT","Fibroblast"
"AGPAT4",3.56902676832531e-35,0.456954441237246,0.228,0.13,8.8690315192884e-31,"AGPAT4","Fibroblast"
"FPGS",4.06829764039223e-35,0.802958958097153,0.161,0.08,1.01097196363747e-30,"FPGS","Fibroblast"
"DNAJB4",4.26821980115468e-35,0.621971984111453,0.37,0.258,1.06065262058694e-30,"DNAJB4","Fibroblast"
"PGM1",4.44495970124382e-35,0.455725495680593,0.305,0.193,1.10457248575909e-30,"PGM1","Fibroblast"
"IGFBP6",5.01815827037767e-35,-1.13978848058678,0.542,0.574,1.24701233018885e-30,"IGFBP6","Fibroblast"
"ARF3",5.11426210903504e-35,0.359795592544486,0.4,0.272,1.27089413409521e-30,"ARF3","Fibroblast"
"GMPPB",5.31567627130942e-35,0.469099321584365,0.235,0.136,1.32094555342039e-30,"GMPPB","Fibroblast"
"TMED3",5.50546547351177e-35,0.281660538057828,0.637,0.522,1.36810817016767e-30,"TMED3","Fibroblast"
"SSU72",5.75944231627781e-35,0.319261086382918,0.543,0.403,1.43122141559504e-30,"SSU72","Fibroblast"
"BOLA3",6.65107724850195e-35,0.378798766938466,0.331,0.213,1.65279269625274e-30,"BOLA3","Fibroblast"
"FAM57A",6.71033850593873e-35,0.6981301847507,0.144,0.067,1.66751911872578e-30,"FAM57A","Fibroblast"
"ETF1",6.80452868965313e-35,0.367711980392462,0.368,0.245,1.6909253793788e-30,"ETF1","Fibroblast"
"UQCRC1",7.12069349081835e-35,0.306637913152396,0.497,0.361,1.76949233246836e-30,"UQCRC1","Fibroblast"
"COX8A",7.24793957663034e-35,0.283301106149766,0.73,0.626,1.80111298479264e-30,"COX8A","Fibroblast"
"PPP1CA",7.39155681376435e-35,0.325981724990462,0.56,0.429,1.83680186822044e-30,"PPP1CA","Fibroblast"
"YWHAH",8.66843731432376e-35,0.360709889411059,0.556,0.413,2.15410667260946e-30,"YWHAH","Fibroblast"
"USB1",9.1364853498698e-35,0.62824210050104,0.194,0.106,2.27041660944265e-30,"USB1","Fibroblast"
"TMEM30A",1.06420588745193e-34,0.333910556233456,0.467,0.334,2.64455163031803e-30,"TMEM30A","Fibroblast"
"AURKAIP1",1.14602391445832e-34,0.287417672890241,0.713,0.598,2.84786942742892e-30,"AURKAIP1","Fibroblast"
"CAV1",1.16899834353186e-34,-0.425292349878597,0.756,0.779,2.90496088367667e-30,"CAV1","Fibroblast"
"ZDHHC20",1.35644090812149e-34,0.403138047070597,0.286,0.175,3.37075565668189e-30,"ZDHHC20","Fibroblast"
"CCL26",1.67252512111784e-34,1.08456846139247,0.116,0.048,4.15622492597784e-30,"CCL26","Fibroblast"
"NPAS2",1.70550783202426e-34,0.906292456052029,0.127,0.056,4.23818696258028e-30,"NPAS2","Fibroblast"
"SORBS2",1.8721089488289e-34,0.797679789623197,0.133,0.06,4.65219073783981e-30,"SORBS2","Fibroblast"
"UBE2V2",1.92954349614496e-34,0.348232217687158,0.444,0.312,4.79491558792023e-30,"UBE2V2","Fibroblast"
"OCIAD2",2.12875060433744e-34,0.954301832919435,0.131,0.059,5.28994525177855e-30,"OCIAD2","Fibroblast"
