"ligand","receptor","pathway","sender","receiver","score_healing","score_nonhealing","delta"
"PDGFA","PDGFRA","PDGF","Keratinocyte","Keratinocyte",0.0241197469344001,0,0.0241197469344001
"TGFB1","TGFBR1","TGFb","Keratinocyte","Smooth_Muscle",0.0239990349882893,0,0.0239990349882893
"IL1B","IL1R1","IL1","Mast_cell","Pericyte",0.0238136120413687,0,0.0238136120413687
"TGFB1","TGFBR1","TGFb","T_cell","Myeloid",0.0741599310751705,0.0974609697923105,-0.02330103871714
"TGFB1","TGFBR1","TGFb","Pericyte","Melanocyte",0.0621706954500289,0.0389029639784506,0.0232677314715783
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Macrophage",0.0359824349876591,0.0592450692998345,-0.0232626343121754
"TGFB1","TGFBR1","TGFb","T_cell","T_cell",0.0693024519485966,0.0924304024664744,-0.0231279505178778
"TGFB1","TGFBR1","TGFb","Keratinocyte","Endothelial",0.0231178401695027,0,0.0231178401695027
"TNF","TNFRSF1A","TNF","T_cell","T_cell",0.064406741069137,0.0874984719591033,-0.0230917308899662
"TNF","TNFRSF1A","TNF","Mast_cell","Myeloid",0.104622158933675,0.0816683904572429,0.022953768476432
"IL6","IL6R","IL6","Smooth_Muscle","Macrophage",0.0570884406454291,0.0799520192643956,-0.0228635786189664
"TNF","TNFRSF1A","TNF","Keratinocyte","Fibroblast",0.0470126928912154,0.0242030569208515,0.022809635970364
"TNF","TNFRSF1A","TNF","Fibroblast","Pericyte",0.0225605286451802,0,0.0225605286451802
"IL6","IL6R","IL6","Fibroblast","Macrophage",0.0635237352902883,0.0411273318243694,0.0223964034659188
"FGF2","FGFR1","FGF","Fibroblast","Melanocyte",0.022314330994373,0,0.022314330994373
"TNF","TNFRSF1A","TNF","Macrophage","Keratinocyte",0.142676643494329,0.120615923431915,0.0220607200624137
"CCL2","CCR2","CCL","Pericyte","T_cell",0.0275146978670395,0.0493201392471644,-0.0218054413801249
"TGFB1","TGFBR1","TGFb","Smooth_Muscle","Melanocyte",0.0567851995216366,0.0350482408043582,0.0217369587172784
"CCL2","CCR2","CCL","Melanocyte","Myeloid",0,0.0215702885644146,-0.0215702885644146
"VEGFA","KDR","VEGF","Mast_cell","Endothelial",0.0326143093354704,0.0539640548601381,-0.0213497455246676
"TNF","TNFRSF1A","TNF","Macrophage","Lymphatic_Endo",0.143275139079113,0.122191003616849,0.0210841354622643
"IL1B","IL1R1","IL1","Lymphatic_Endo","Fibroblast",0.020937373161589,0,0.020937373161589
"IL6","IL6R","IL6","Keratinocyte","Myeloid",0.0209257669732606,0,0.0209257669732606
"PDGFA","PDGFRA","PDGF","Smooth_Muscle","Myeloid",0.0209127489936124,0,0.0209127489936124
"IL1B","IL1R1","IL1","Macrophage","Mast_cell",0.020829887657513,0,0.020829887657513
"TNF","TNFRSF1A","TNF","Mast_cell","Fibroblast",0.210543353923869,0.189874647906195,0.0206687060176743
"IL6","IL6R","IL6","Fibroblast","Pericyte",0.0206176104168526,0,0.0206176104168526
"IL6","IL6R","IL6","Myeloid","T_cell",0.0205958760532502,0,0.0205958760532502
"TNF","TNFRSF1A","TNF","Fibroblast","Fibroblast",0.0205780443476596,0,0.0205780443476596
"PDGFA","PDGFRA","PDGF","Pericyte","Myeloid",0.0205295179689205,0,0.0205295179689205
"CCL2","CCR2","CCL","Endothelial","T_cell",0.025709547068105,0.0462212886049995,-0.0205117415368945
"FGF2","FGFR1","FGF","Fibroblast","Keratinocyte",0.0201632834015515,0,0.0201632834015515
"PDGFA","PDGFRA","PDGF","Pericyte","Lymphatic_Endo",0.0200600870532031,0,0.0200600870532031
"VEGFA","KDR","VEGF","Endothelial","Lymphatic_Endo",0.0471210962712977,0.0273336737834011,0.0197874224878967
"IL1B","IL1R1","IL1","Mast_cell","Smooth_Muscle",0.0195873033778471,0,0.0195873033778471
"TGFB1","TGFBR1","TGFb","Macrophage","Endothelial",0.0462733996162753,0.0658498570998819,-0.0195764574836066
"IL6","IL6R","IL6","Smooth_Muscle","Melanocyte",0,0.019362644267039,-0.019362644267039
"IL6","IL6R","IL6","Endothelial","Keratinocyte",0.0192920863241594,0,0.0192920863241594
"CXCL8","CXCR1","CXCL","Myeloid","Keratinocyte",0.0192114099501375,0,0.0192114099501375
"FGF2","FGFR1","FGF","Fibroblast","Smooth_Muscle",0.0271364916565586,0.046305288484172,-0.0191687968276133
"IL1B","IL1R1","IL1","Pericyte","Endothelial",0.0189923407802798,0,0.0189923407802798
"IL6","IL6R","IL6","Melanocyte","Smooth_Muscle",0.0189646169284178,0,0.0189646169284178
"FGF2","FGFR1","FGF","Pericyte","Endothelial",0.0189471738463786,0,0.0189471738463786
"FGF2","FGFR1","FGF","Fibroblast","Fibroblast",0.0812491599774036,0.100109823668822,-0.0188606636914184
"IL6","IL6R","IL6","Smooth_Muscle","Myeloid",0.0829400596502296,0.0643199928875391,0.0186200667626905
"IL1B","IL1R1","IL1","Pericyte","Pericyte",0.0185879496231524,0,0.0185879496231524
"PDGFA","PDGFRA","PDGF","Melanocyte","Endothelial",0.0185709638849669,0,0.0185709638849669
"TNF","TNFRSF1A","TNF","Keratinocyte","Endothelial",0.037563530953411,0.0190951585500778,0.0184683724033331
"IL6","IL6R","IL6","Myeloid","Pericyte",0.018458717461622,0,0.018458717461622
"TNF","TNFRSF1A","TNF","Mast_cell","Endothelial",0.168225883389718,0.149802833512546,0.0184230498771716
"IL6","IL6R","IL6","Lymphatic_Endo","Myeloid",0.018187129077999,0,0.018187129077999
"IL6","IL6R","IL6","Smooth_Muscle","T_cell",0.0206742245757211,0.0385274463810977,-0.0178532218053765
"IL6","IL6R","IL6","Melanocyte","Keratinocyte",0.0177104542926645,0,0.0177104542926645
"TGFB1","TGFBR1","TGFb","Myeloid","Myeloid",0.0581172950041916,0.0757441707840023,-0.0176268757798107
"TNF","TNFRSF1A","TNF","Fibroblast","Smooth_Muscle",0.0175503039653036,0,0.0175503039653036
"TGFB1","TGFBR1","TGFb","Myeloid","T_cell",0.0543106093279381,0.0718345426376731,-0.017523933309735
