source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
SOX9+LGR5+_stem,Glandular_epithelium,VIM,CD44,2.0750513,0.0,2.114894,0.19959906126607804,0.10567294565788166,0.0043598255,0.90948313,1.0,0.0016540769123391925
Basalis_fibroblast,NKT_cells,PTN,NCL,1.6799927,0.0,2.819149,0.991256368204704,1.3264435822903544,0.02131124,0.92063856,0.05077794365988068,0.0016626077272494004
Basalis_fibroblast,Smooth_muscle,COL1A1,CD44,1.6784585,0.0,2.5738027,0.7126859035405256,1.1120436584932498,0.015626965,0.917248,0.07556792805553825,0.001666881286422678
Macrophages,SOX9+LGR5+_stem,LGALS1,ITGB1,1.6762301,0.0,2.7273302,0.3058813728533371,0.07320148334448429,0.0076147965,0.9194205,0.40379841142708756,0.0016840300905138594
Pericyte,Basalis_fibroblast,MDK,SDC2,1.6741225,0.0,2.4218366,1.521708540665681,1.6639295196258526,0.048596255,0.9149088,0.0017111615824324624,0.0016969488037984475
SOX9+LGR5+_stem,Basalis_fibroblast,MDK,SDC2,1.6739906,0.0,2.421558,1.5215722970323153,1.731241649549435,0.04859066,0.9149043,0.0012222341483934206,0.0017012658317644047
Decidualized_stromal,Basalis_fibroblast,COL3A1,DDR2,2.0406706,0.0,2.093917,1.628052069492808,2.1328015578948647,0.07294947,0.909072,0.0002272038193134451,0.001731637591185977
SOX9+LGR5+_stem,Pericyte,MDK,NCL,1.6719184,0.0,2.4120631,0.5643321439645776,1.0531601197961358,0.009822657,0.9147513,0.20184998320229997,0.001731637591185977
SOX9+LGR5+_stem,Glandular_epithelium,SEMA5A,PLXNA1,0.053770646,1.0,0.0028766578,-0.05658043884372687,-0.18069299689238227,0.002522191,0.27037415,1.0,0.00174384804130085
B_cells,SOX9+LGR5+_stem,HLA-A,APLP2,1.6678255,0.0,2.188026,0.24183266824714905,0.06834484268490726,0.006840485,0.9108727,0.5236562317599573,0.0017491123449451644
Basalis_fibroblast,Basalis_fibroblast,SERPINF1,PLXDC2,1.7249955,0.0,2.084244,2.0986979390255645,2.383693688249343,0.105872095,0.9088804,7.138029368942777e-05,0.001779902060152046
Pericyte,SOX9+LGR5+_stem,TIMP1,CD63,1.6636622,0.0,2.5229836,0.34574369294241203,0.2610117520869424,0.007648439,0.916488,0.3997246887780923,0.0018154162550844397
Basalis_fibroblast,Pericyte,VIM,CD44,2.1365137,0.0,2.071932,0.24013950801250206,0.41200109959516673,0.00427126,0.9086348,0.9666786278108384,0.0018154162550844397
Basalis_fibroblast,Decidualized_stromal,LAMA2,RPSA,1.6618619,0.0,2.314473,1.1108545924008086,1.0757771072037574,0.034773022,0.91312706,0.03210160506630615,0.0018422799875534965
Lymphoid_immune,SOX9+LGR5+_stem,VIM,CD44,1.8696994,0.0,2.057782,0.056345804731766286,-0.2429416789324469,0.0042420896,0.90834993,1.0,0.001873867593639503
CD133+_progenitor,Macrophages,VIM,CD44,1.658118,1.0,2.6956296,0.09176406558453187,-0.027752904626645147,0.005557004,0.9189864,1.0,0.0018784017762905345
Erythrocytes,CD133+_progenitor,HLA-A,APLP2,1.6580381,0.0,2.5631678,0.26309451571248454,0.216794451555262,0.0080133015,0.9170908,0.35682692558005,0.0018829416238268313
Decidualized_stromal,Basalis_fibroblast,COL1A2,CD44,1.6576607,0.0,2.4421196,0.6505476053078791,0.689246540569203,0.013886748,0.9152329,0.07556792805553825,0.0018874866561014707
Lymphatic_endothelium,Basalis_fibroblast,VWF,ITGB1,1.6542473,0.0,2.7332718,1.602199307403624,1.805376378926902,0.08285278,0.91950107,0.00046434633229786395,0.0019424508197349501
Basalis_fibroblast,Macrophages,LUM,ITGB1,1.8497044,0.0,2.0380092,1.152899152789785,1.4238896349644772,0.017053515,0.90794724,0.015651202859209103,0.0019563136888697246
Macrophages,Basalis_fibroblast,CXCL8,SDC2,1.6523325,0.0,2.3757732,1.2822296901723564,1.849799904275398,0.05363153,0.91415834,0.00501629248445547,0.0019702255963510813
